Job1,Job2,Sector1,Sector2,NSQF1,NSQF2,similarity_score
Solar PV Designer,Knitting Machine Operator Warp Knitting,Green Jobs,Textile,7,3,0.39564413
Solar PV Designer,Knitting Machine Operator Flat Bed Knitting,Green Jobs,Textile,7,3,0.39564413
Solar PV Designer,Knotting Machine Operator,Green Jobs,Textile,7,3,0.39564413
Solar PV Designer,Pirn Winding Machine Operator,Green Jobs,Textile,7,3,0.39564413
Solar PV Designer,Jute Carding Operator,Green Jobs,Textile,7,2,0.39564413
Solar PV Designer,Fitter - Shuttleless Weaving Machine: Projectile,Green Jobs,Textile,7,4,0.39564413
Solar PV Designer,Jute Beaming Operator,Green Jobs,Textile,7,2,0.39564413
Solar PV Designer,Cone Winding Operator - Manual & Assembly Winding,Green Jobs,Textile,7,3,0.39564413
Solar PV Designer,Jute Weft Winding Operator,Green Jobs,Textile,7,2,0.39564413
Solar PV Designer,Combing Preparatory Operator,Green Jobs,Textile,7,3,0.39564413
Solar PV Designer,Jute Selector cum Assorter,Green Jobs,Textile,7,2,0.39564413
Solar PV Designer,Fitter  Weaving Preparatory,Green Jobs,Textile,7,4,0.39564413
Solar PV Designer,Fabric Checker - Textiles,Green Jobs,Textile,7,3,0.39564413
Solar PV Designer,Fabric Mender - Textiles,Green Jobs,Textile,7,3,0.39564413
Solar PV Designer,Circular loom operator (Shuttle type),Green Jobs,Textile,7,3,0.39564413
Solar PV Designer,Fitter Helper - Weaving,Green Jobs,Textile,7,2,0.39564413
Solar PV Designer,Kalamkari Artisan,Green Jobs,Textile,7,2,0.39564413
Solar PV Designer,Jacquard Harness Builder,Green Jobs,Textile,7,2,0.39564413
Solar PV Designer,Twister cum Doubler - Handloom,Green Jobs,Textile,7,2,0.39564413
Auto Rickshaw Driver,Introduction to Electric Vehicle,Automotive,Automotive,4,4,0.39564356
Auto Rickshaw Driver,GHG Accounting and Sustainability Reporting,Automotive,Green Jobs,4,6,0.39564356
Rooftop Solar Grid Engineer,Billing Executive,Green Jobs,Tourism & Hospitality,5,4,0.3956346
Junior Technician-Rooftop Rainwater Harvesting,Hotel Reception (WorldSkills),Green Jobs,Tourism & Hospitality,3,4.5,0.3956224
Loin Loom Weaver,Cleaner-Roadside Eatery,Textile,Tourism & Hospitality,3,2,0.395613
Sewer Entry Professional,Basic Program on Traditional Hand Embroidery,Green Jobs,Handicrafts and Carpet,3,4,0.3955811
Animal Waste Manure Aggregator,Advanced Program on Hand Block Printing,Green Jobs,Handicrafts and Carpet,3,4,0.39556366
GHG Accounting and Sustainability Reporting,Sous Chef,Green Jobs,Tourism & Hospitality,6,5.5,0.395559
Introduction to Electric Vehicle,Sous Chef,Automotive,Tourism & Hospitality,4,5.5,0.395559
Jr Operator- Automotive Quality Control,Plastic Recycling Operator,Automotive,Green Jobs,3,3,0.39554942
Basic Program on Traditional Hand Embroidery,Assistant - Electrician,Handicrafts and Carpet,Iron and Steel,4,3,0.39554626
Dairy Processing Equipment Operator,Basic Program on Traditional Hand Embroidery,Food Processing,Handicrafts and Carpet,4,4,0.39554304
GHG Accounting and Sustainability Reporting,Food Delivery Associate,Green Jobs,Tourism & Hospitality,6,3,0.39545336
Introduction to Electric Vehicle,Food Delivery Associate,Automotive,Tourism & Hospitality,4,3,0.39545336
Introduction to Electric Vehicle,Parasailing (Equipment) Driver,Automotive,Tourism & Hospitality,4,4,0.39543012
GHG Accounting and Sustainability Reporting,Parasailing (Equipment) Driver,Green Jobs,Tourism & Hospitality,6,4,0.39543012
Basic Program on Traditional Hand Embroidery,Helper - Utility Hand Plant Operations,Handicrafts and Carpet,Iron and Steel,4,2,0.39542243
Solar Proposal Evaluation Specialist,Food & Beverage Service Manager,Green Jobs,Tourism & Hospitality,5,7,0.39541698
Cold Storage Technician,Loin Loom Weaver,Food Processing,Textile,3,3,0.39538994
Chief Miller,Basic Program on Traditional Hand Embroidery,Food Processing,Handicrafts and Carpet,5,4,0.39537126
Solar PV Engineer (Option: Solar Water Pumping System),Food Delivery Professional,Green Jobs,Tourism & Hospitality,5,3,0.39535886
Solar EV Charging Entrepreneur,Assistant Rafting Guide,Green Jobs,Tourism & Hospitality,4,4,0.3953391
Refrigeration Technician - Food Processing Facility,Loin Loom Weaver,Food Processing,Textile,4,3,0.3953351
Recyclable Waste Collector & Segregator,Mountain Cuisine Chef,Green Jobs,Tourism & Hospitality,4,5,0.39532697
Solar PV Designer,Mountain Cuisine Chef,Green Jobs,Tourism & Hospitality,7,5,0.39530882
Introduction to Electric Vehicle,Guest Service Associate (Housekeeping),Automotive,Tourism & Hospitality,4,4,0.3953054
GHG Accounting and Sustainability Reporting,Guest Service Associate (Housekeeping),Green Jobs,Tourism & Hospitality,6,4,0.3953054
Basic Program on Traditional Hand Embroidery,Parasailing Launcher/Receiver,Handicrafts and Carpet,Tourism & Hospitality,4,3,0.39529696
Maintenance Technician- Service Workshop,GHG Accounting and Sustainability Reporting,Automotive,Green Jobs,4,6,0.3952941
Maintenance Technician- Service Workshop,Introduction to Electric Vehicle,Automotive,Automotive,4,4,0.3952941
Solar PV Engineer (Option: Solar Water Pumping System),Glass Toy Maker - Artisan,Green Jobs,Handicrafts and Carpet,5,4,0.39527076
Car Painting,Loin Loom Weaver,Automotive,Textile,4.5,3,0.39526212
Introduction to Electric Vehicle,Plant Biscuit Production Specialist,Automotive,Food Processing,4,4,0.3952193
Plant Biscuit Production Specialist,GHG Accounting and Sustainability Reporting,Food Processing,Green Jobs,4,6,0.3952193
Introduction to Electric Vehicle,Quality checker - Stonecraft,Automotive,Handicrafts and Carpet,4,3.5,0.39515054
GHG Accounting and Sustainability Reporting,Quality checker - Stonecraft,Green Jobs,Handicrafts and Carpet,6,3.5,0.39515054
GHG Accounting and Sustainability Reporting,Traditional Soft Toy Maker,Green Jobs,Handicrafts and Carpet,6,2.5,0.39514607
Introduction to Electric Vehicle,Traditional Soft Toy Maker,Automotive,Handicrafts and Carpet,4,2.5,0.39514607
Bio-Energy Micro Entrepreneur,Jack  Hammer Operator,Green Jobs,Mining,4,4,0.39513743
GHG Accounting and Sustainability Reporting,Coir Weaver,Green Jobs,Handicrafts and Carpet,6,2.5,0.39513227
Introduction to Electric Vehicle,Coir Weaver,Automotive,Handicrafts and Carpet,4,2.5,0.39513227
Green Hydrogen Plant Junior Technician-Electrolyzer,Home Stay Host,Green Jobs,Tourism & Hospitality,3,5,0.3951192
Introduction to Electric Vehicle,Walk Tour Facilitator,Automotive,Tourism & Hospitality,4,4,0.3951121
GHG Accounting and Sustainability Reporting,Walk Tour Facilitator,Green Jobs,Tourism & Hospitality,6,4,0.3951121
Green Hydrogen Plant Junior Technician - Power Sources,Food & Beverage Service - Associate,Green Jobs,Tourism & Hospitality,3,4,0.39510772
Solar PV Designer,Kitchen Stewarding Shift In charge,Green Jobs,Tourism & Hospitality,7,3.5,0.39510018
Solar Photovoltaic Site Survey Assistant,Banquet Manager (Operation),Green Jobs,Tourism & Hospitality,3.5,7,0.39509112
Solar PV Designer,Front Office Manager,Green Jobs,Tourism & Hospitality,7,7,0.39503908
Introduction to Electric Vehicle,Counter Sales Associate-Tourism and Hospitality,Automotive,Tourism & Hospitality,4,4,0.3949983
GHG Accounting and Sustainability Reporting,Counter Sales Associate-Tourism and Hospitality,Green Jobs,Tourism & Hospitality,6,4,0.3949983
Animal Waste Manure Aggregator,Basic Program on Traditional Hand Embroidery,Green Jobs,Handicrafts and Carpet,3,4,0.39493906
House Keeping with Mechanised Equipments,Loin Loom Weaver,Iron and Steel,Textile,2,3,0.39487183
Solar EV Charging Entrepreneur,Front Office Manager,Green Jobs,Tourism & Hospitality,4,7,0.39486668
Plastic Recycling Operator,Food & Beverage Service Manager,Green Jobs,Tourism & Hospitality,3,7,0.3948613
Automotive Machining Aide,Recyclable Waste Collector & Segregator,Automotive,Green Jobs,2,4,0.3948081
Plastic Recycling Operator,Food & Beverage Service - Associate,Green Jobs,Tourism & Hospitality,3,4,0.39476222
Junior Technician- Solar Cold Storage,HouseKeeping Manager,Green Jobs,Tourism & Hospitality,3,5.5,0.3947394
GHG Accounting and Sustainability Reporting,Sponge Iron / Direct Reduced Iron (DRI)-Process Control Engineer,Green Jobs,Iron and Steel,6,5.5,0.39473704
Introduction to Electric Vehicle,Sponge Iron / Direct Reduced Iron (DRI)-Process Control Engineer,Automotive,Iron and Steel,4,5.5,0.39473704
Solar PV Engineer (Option: Solar Water Pumping System),Jute Handloom Weaver,Green Jobs,Handicrafts and Carpet,5,3,0.39473552
Solar PV Engineer (Option: Solar Water Pumping System),Jute Screen Printer,Green Jobs,Handicrafts and Carpet,5,3,0.39473552
Ceramics and Terracotta Toy Maker - Artisan,Basic Program on Traditional Hand Embroidery,Handicrafts and Carpet,Handicrafts and Carpet,4,4,0.39472005
Welding,Hotel Reception (WorldSkills),Automotive,Tourism & Hospitality,4.5,4.5,0.39469403
Green Hydrogen Plant Junior Technician-Electrolyzer,Tour Manager,Green Jobs,Tourism & Hospitality,3,6,0.39468718
Junior Technician-Rooftop Rainwater Harvesting,Advanced Program on Hand Block Printing,Green Jobs,Handicrafts and Carpet,3,4,0.39468718
Biomass Pellet Manufacturing Junior Technician,Front Office Manager,Green Jobs,Tourism & Hospitality,3,7,0.39461952
Solar Photovoltaic Technician,Duty Manager,Green Jobs,Tourism & Hospitality,4,5,0.39461192
Solar Photovoltaic Site Survey Assistant,Jute Handloom Weaver,Green Jobs,Handicrafts and Carpet,3.5,3,0.39460585
Solar Photovoltaic Site Survey Assistant,Jute Screen Printer,Green Jobs,Handicrafts and Carpet,3.5,3,0.39460585
Automotive Material Handling Operator,Tour Manager,Automotive,Tourism & Hospitality,3,6,0.39458746
Solar PV Designer,Street Food Vendor- Standalone,Green Jobs,Tourism & Hospitality,7,4,0.39458445
Solar Cold Storage Entrepreneur,GHG Accounting and Sustainability Reporting,Green Jobs,Green Jobs,4,6,0.39456207
Introduction to Electric Vehicle,Solar Cold Storage Entrepreneur,Automotive,Green Jobs,4,4,0.39456207
Plastic Recycling Micro Entrepreneur,Tour Manager,Green Jobs,Tourism & Hospitality,4,6,0.39453673
Loader Operator-Underground,Revenue Manager,Mining,Tourism & Hospitality,4,5.5,0.39453587
Solar PV Designer,Trainee Chef.,Green Jobs,Tourism & Hospitality,7,3,0.39452147
Solar PV Project Helper,Advanced Program on Traditional Hand Embroidery,Green Jobs,Handicrafts and Carpet,2,4,0.39450276
Solar PV Engineer (Option: Solar Water Pumping System),Winding  Operator,Green Jobs,Mining,5,4,0.39443576
GHG Accounting and Sustainability Reporting,Process Control Engineer - Basic Oxygen Furnace (BOF),Green Jobs,Iron and Steel,6,6,0.3944155
Introduction to Electric Vehicle,Process Control Engineer - Basic Oxygen Furnace (BOF),Automotive,Iron and Steel,4,6,0.3944155
Junior Technician- Solar Cold Storage,Ground Crew Chief (Paragliding),Green Jobs,Tourism & Hospitality,3,4,0.39440423
Introduction to Electric Vehicle,Jute Yarn Hank Dyer,Automotive,Handicrafts and Carpet,4,2.5,0.39439154
GHG Accounting and Sustainability Reporting,Jute Yarn Hank Dyer,Green Jobs,Handicrafts and Carpet,6,2.5,0.39439154
Wastewater Treatment Plant Helper,Design Marker - Stonecraft,Green Jobs,Handicrafts and Carpet,3,3.5,0.3943808
Waste Picker,Handcrafted Candle Maker,Green Jobs,Handicrafts and Carpet,3,3,0.39435148
Process Operator Rolling Mills,Tour Manager,Iron and Steel,Tourism & Hospitality,5,6,0.39433706
Solar PV Designer,Assistant Rafting Guide,Green Jobs,Tourism & Hospitality,7,4,0.39432836
Junior Technician- Solar Cold Storage,Housekeeping Attendant,Green Jobs,Tourism & Hospitality,3,3,0.39429384
GHG Accounting and Sustainability Reporting,Housekeeping Supervisor,Green Jobs,Tourism & Hospitality,6,5,0.39426136
Introduction to Electric Vehicle,Housekeeping Supervisor,Automotive,Tourism & Hospitality,4,5,0.39426136
Automotive Assembler,Food & Beverage Service Manager,Automotive,Tourism & Hospitality,4,7,0.39421615
Automotive Quality Control Inspector,Leaf Utility Products Artisan,Automotive,Handicrafts and Carpet,3,2,0.39419925
Food Sampler,GHG Accounting and Sustainability Reporting,Food Processing,Green Jobs,3.5,6,0.3941731
Introduction to Electric Vehicle,Food Sampler,Automotive,Food Processing,4,3.5,0.3941731
Advanced Program on Hand Block Printing,Assistant Rafting Guide,Handicrafts and Carpet,Tourism & Hospitality,4,4,0.39416686
Welding,Front Office Manager,Automotive,Tourism & Hospitality,4.5,7,0.39414915
GHG Accounting and Sustainability Reporting,Hotel Reception (WorldSkills),Green Jobs,Tourism & Hospitality,6,4.5,0.39413917
Introduction to Electric Vehicle,Hotel Reception (WorldSkills),Automotive,Tourism & Hospitality,4,4.5,0.39413917
Basic Program on Traditional Hand Embroidery,Painter (Metal Handicrafts),Handicrafts and Carpet,Handicrafts and Carpet,4,3.5,0.39413434
Advanced Program on Hand Block Printing,Facility Management Executive,Handicrafts and Carpet,Tourism & Hospitality,4,5,0.3941139
Green Hydrogen Plant Junior Technician - Power Sources,Banquet Manager (Operation),Green Jobs,Tourism & Hospitality,3,7,0.39409137
Battery Operator,Loin Loom Weaver,Iron and Steel,Textile,5,3,0.3940214
GHG Accounting and Sustainability Reporting,Carpet Quality Checker,Green Jobs,Handicrafts and Carpet,6,4,0.39400727
Introduction to Electric Vehicle,Carpet Quality Checker,Automotive,Handicrafts and Carpet,4,4,0.39400727
GHG Accounting and Sustainability Reporting,Electric Arc Furnace (EAF)- Process Control Engineer,Green Jobs,Iron and Steel,6,5.5,0.3939596
Introduction to Electric Vehicle,Electric Arc Furnace (EAF)- Process Control Engineer,Automotive,Iron and Steel,4,5.5,0.3939596
Baking Assistant,Wastewater Treatment Plant Helper,Food Processing,Green Jobs,2.5,3,0.39395806
GHG Accounting and Sustainability Reporting,Potter (Kumhar) including traditional ceramics and terracotta product maker,Green Jobs,Handicrafts and Carpet,6,2.5,0.3939541
Introduction to Electric Vehicle,Potter (Kumhar) including traditional ceramics and terracotta product maker,Automotive,Handicrafts and Carpet,4,2.5,0.3939541
Handcrafted Candle Maker,Billing/Contract Executive (Facility Management),Handicrafts and Carpet,Tourism & Hospitality,3,4,0.39392444
Food Sales Promoter,Advanced Program on Traditional Hand Embroidery,Food Processing,Handicrafts and Carpet,3,4,0.39392197
Handcrafted Candle Maker,Walk Tour Facilitator,Handicrafts and Carpet,Tourism & Hospitality,3,4,0.39380968
Iron & Steel- Machinist,Tour Manager,Iron and Steel,Tourism & Hospitality,3,6,0.39379823
Grain Mill Operator,Basic Program on Traditional Hand Embroidery,Food Processing,Handicrafts and Carpet,3,4,0.393771
Green Hydrogen Plant Junior Technician- Storage,Housekeeping Attendant,Green Jobs,Tourism & Hospitality,3,3,0.39376697
Automotive Assembly Assistant,GHG Accounting and Sustainability Reporting,Automotive,Green Jobs,2,6,0.39376155
Automotive Assembly Assistant,Introduction to Electric Vehicle,Automotive,Automotive,2,4,0.39376155
Junior Technician - Mechanized Sewer Cleaning,Loin Loom Weaver,Green Jobs,Textile,3,3,0.39373818
Internal Food Auditor-Food Processing,Solar PV Engineer (Option: Solar Water Pumping System),Food Processing,Green Jobs,6,5,0.39366844
Introduction to Electric Vehicle,Grader Machine Operator,Automotive,Mining,4,3,0.39364687
GHG Accounting and Sustainability Reporting,Grader Machine Operator,Green Jobs,Mining,6,3,0.39364687
Automotive Packing Assistant,Introduction to Electric Vehicle,Automotive,Automotive,2,4,0.39363673
Automotive Packing Assistant,GHG Accounting and Sustainability Reporting,Automotive,Green Jobs,2,6,0.39363673
Biomass Pellet Manufacturing Junior Technician,Parasailing (Equipment) Supervisor,Green Jobs,Tourism & Hospitality,3,6,0.39362925
Solar PV Project Helper,Billing Executive,Green Jobs,Tourism & Hospitality,2,4,0.39362136
GHG Accounting and Sustainability Reporting,Pastry/Bakery Assistant,Green Jobs,Tourism & Hospitality,6,3,0.39360392
Introduction to Electric Vehicle,Pastry/Bakery Assistant,Automotive,Tourism & Hospitality,4,3,0.39360392
Wastewater Treatment Plant Helper,Handloom Entrepreneur,Green Jobs,Textile,3,5,0.39356476
Solar PV Engineer (Option: Solar Water Pumping System),Housekeeping Attendant,Green Jobs,Tourism & Hospitality,5,3,0.39353424
Solar Photovoltaic Site Survey Assistant,Shuttle Loom Operator cum Pirn Winder,Green Jobs,Textile,3.5,3,0.39352518
Automotive Quality Control Inspector,Advanced Program on Hand Block Printing,Automotive,Handicrafts and Carpet,3,4,0.39352465
Housekeeping Attendant,Tour Manager,Tourism & Hospitality,Tourism & Hospitality,3,6,0.3934895
Handcrafted Candle Maker,Dumper/ Tipper Operator,Handicrafts and Carpet,Mining,3,4,0.39346302
Rooftop Solar Grid Engineer,Banquet Manager (Operation),Green Jobs,Tourism & Hospitality,5,7,0.3934568
Taxi Driver,Basic Program on Traditional Hand Embroidery,Automotive,Handicrafts and Carpet,3,4,0.39343578
Solar PV Designer,Barista Executive,Green Jobs,Tourism & Hospitality,7,4,0.39342162
Basic Program on Traditional Hand Embroidery,Guest Service Associate (Front Office),Handicrafts and Carpet,Tourism & Hospitality,4,4,0.39337403
Junior Technician - Mechanized Sewer Cleaning,Revenue Manager,Green Jobs,Tourism & Hospitality,3,5.5,0.39337343
Introduction to Electric Vehicle,Solar PV Structural Assistant Design Engineer,Automotive,Green Jobs,4,5,0.3933683
Solar PV Structural Assistant Design Engineer,GHG Accounting and Sustainability Reporting,Green Jobs,Green Jobs,5,6,0.3933683
Plant Manager,Wastewater Treatment Plant Helper,Food Processing,Green Jobs,9,3,0.39327553
Loader Operator-Underground,Bakery (WorldSkills),Mining,Tourism & Hospitality,4,4.5,0.39324814
GHG Accounting and Sustainability Reporting,Bakery (WorldSkills),Green Jobs,Tourism & Hospitality,6,4.5,0.39320996
Introduction to Electric Vehicle,Bakery (WorldSkills),Automotive,Tourism & Hospitality,4,4.5,0.39320996
Solar Domestic Product Assembler,Pantry Associate,Green Jobs,Tourism & Hospitality,2.5,3,0.39320275
Solar Cold Storage Entrepreneur,Front Office Manager,Green Jobs,Tourism & Hospitality,4,7,0.39319202
Bio-Energy Micro Entrepreneur,Decorative Painter - Glassware,Green Jobs,Handicrafts and Carpet,4,3.5,0.3931748
Introduction to Electric Vehicle,Faecal Sludge Treatment Plant O&M Technician,Automotive,Green Jobs,4,4,0.39316255
Faecal Sludge Treatment Plant O&M Technician,GHG Accounting and Sustainability Reporting,Green Jobs,Green Jobs,4,6,0.39316255
Loin Loom Weaver,Facility Manager,Textile,Tourism & Hospitality,3,6,0.39315218
Car Painting,Introduction to Electric Vehicle,Automotive,Automotive,4.5,4,0.39313546
Car Painting,GHG Accounting and Sustainability Reporting,Automotive,Green Jobs,4.5,6,0.39313546
Painter (Metal Handicrafts),Food & Beverage Service Manager,Handicrafts and Carpet,Tourism & Hospitality,3.5,7,0.39309227
Portable Improved Cookstove Assembler,Revenue Manager,Green Jobs,Tourism & Hospitality,3,5.5,0.39304733
Automotive Plastic Moulding Technician,GHG Accounting and Sustainability Reporting,Automotive,Green Jobs,3,6,0.3930388
Automotive Plastic Moulding Technician,Introduction to Electric Vehicle,Automotive,Automotive,3,4,0.3930388
Gas Tungsten Arc Welding (GTAW),Loin Loom Weaver,Iron and Steel,Textile,4,3,0.3930212
Introduction to Electric Vehicle,Transport Duty Manager,Automotive,Tourism & Hospitality,4,6,0.39298597
GHG Accounting and Sustainability Reporting,Transport Duty Manager,Green Jobs,Tourism & Hospitality,6,6,0.39298597
Manager- Waste Management,Basic Program on Traditional Hand Embroidery,Green Jobs,Handicrafts and Carpet,6,4,0.3929435
Introduction to Electric Vehicle,Chef de Partie,Automotive,Tourism & Hospitality,4,5,0.39294195
GHG Accounting and Sustainability Reporting,Chef de Partie,Green Jobs,Tourism & Hospitality,6,5,0.39294195
Automotive Quality Control Inspector,Squash and Juice Processing Technician,Automotive,Food Processing,3,3,0.39293572
Plant Baker,GHG Accounting and Sustainability Reporting,Food Processing,Green Jobs,5,6,0.3929206
Introduction to Electric Vehicle,Plant Baker,Automotive,Food Processing,4,5,0.3929206
Junior Technician- Solar Cold Storage,Advanced Program on Traditional Hand Embroidery,Green Jobs,Handicrafts and Carpet,3,4,0.39288497
Green Hydrogen Plant Junior Technician - Power Sources,Guest Service Executive (Front Office),Green Jobs,Tourism & Hospitality,3,4.5,0.39284307
Plastic Recycling Operator,Housekeeping Attendant,Green Jobs,Tourism & Hospitality,3,3,0.39284304
Sewer Entry Professional,Food & Beverage Service Manager,Green Jobs,Tourism & Hospitality,3,7,0.39279863
Solar Photovoltaic Site Survey Assistant,Executive Housekeeper,Green Jobs,Tourism & Hospitality,3.5,6,0.3927951
Green Hydrogen Plant Junior Technician-Electrolyzer,Food & Beverage Service Manager,Green Jobs,Tourism & Hospitality,3,7,0.3927895
Introduction to Electric Vehicle,Wooden Toy Maker - Artisan,Automotive,Handicrafts and Carpet,4,4,0.39276814
GHG Accounting and Sustainability Reporting,Wooden Toy Maker - Artisan,Green Jobs,Handicrafts and Carpet,6,4,0.39276814
GHG Accounting and Sustainability Reporting,Fitter Spinning Preparatory,Green Jobs,Textile,6,4,0.39275536
Introduction to Electric Vehicle,Fitter Spinning Preparatory,Automotive,Textile,4,4,0.39275536
Leaf Utility Products Artisan,Revenue Manager,Handicrafts and Carpet,Tourism & Hospitality,2,5.5,0.39271057
Purchase Assistant  Food and Agricultural Commodities,Solar Photovoltaic Site Survey Assistant,Food Processing,Green Jobs,3,3.5,0.3926988
Advanced Program on Hand Block Printing,Front Office Assistant,Handicrafts and Carpet,Tourism & Hospitality,4,3,0.39268368
Plastic Recycling Micro Entrepreneur,Handcrafted Candle Maker,Green Jobs,Handicrafts and Carpet,4,3,0.39261484
Solar PV Project Helper,Bartender,Green Jobs,Tourism & Hospitality,2,4.5,0.3925526
Forklift Operator/Driver,Introduction to Electric Vehicle,Automotive,Automotive,3,4,0.3925178
Forklift Operator/Driver,GHG Accounting and Sustainability Reporting,Automotive,Green Jobs,3,6,0.3925178
Basic Program on Traditional Hand Embroidery,Parasailing (Equipment) Driver,Handicrafts and Carpet,Tourism & Hospitality,4,4,0.39251462
Industrial Control,Solar Domestic Product Assembler,Automotive,Green Jobs,4.5,2.5,0.39248815
Jr Operator- Automotive Quality Control,Solar PV Designer,Automotive,Green Jobs,3,7,0.3924799
Welding,Banquet Manager (Operation),Automotive,Tourism & Hospitality,4.5,7,0.39247483
Green Hydrogen Plant Junior Technician - Power Sources,Hotel Reception (WorldSkills),Green Jobs,Tourism & Hospitality,3,4.5,0.3924513
Grain Mill Operator,GHG Accounting and Sustainability Reporting,Food Processing,Green Jobs,3,6,0.39245033
Introduction to Electric Vehicle,Grain Mill Operator,Automotive,Food Processing,4,3,0.39245033
Solar Domestic Product Assembler,Basic Program on Traditional Hand Embroidery,Green Jobs,Handicrafts and Carpet,2.5,4,0.3924479
Finished Package Checker-cum-Packer  - Spinning,Ring Frame Doffer,Textile,Textile,3,3,0.39241496
Twister cum Doubler - Handloom,Finished Package Checker-cum-Packer  - Spinning,Textile,Textile,2,3,0.39241496
Finished Package Checker-cum-Packer  - Spinning,Jute spinning Sardar (Jobber) cum Jr. Supervisor,Textile,Textile,3,4,0.39241496
Hand Spinning Operator,Finished Package Checker-cum-Packer  - Spinning,Textile,Textile,3,3,0.39241496
Finished Package Checker-cum-Packer  - Spinning,Jute Carding Operator,Textile,Textile,3,2,0.39241496
Assistant Cotton Grader (Ginning),Finished Package Checker-cum-Packer  - Spinning,Textile,Textile,2,3,0.39241496
Finished Package Checker-cum-Packer  - Spinning,Tape Plant Operator,Textile,Textile,3,3,0.39241496
Finished Package Checker-cum-Packer  - Spinning,Circular loom operator (Shuttle type),Textile,Textile,3,3,0.39241496
Finished Package Checker-cum-Packer  - Spinning,Ring Frame Tenter,Textile,Textile,3,3,0.39241496
Finished Package Checker-cum-Packer  - Spinning,Pirn Winding Machine Operator,Textile,Textile,3,3,0.39241496
Finished Package Checker-cum-Packer  - Spinning,Fitter Helper - Weaving,Textile,Textile,3,2,0.39241496
Finished Package Checker-cum-Packer  - Spinning,Fitter - Shuttleless Weaving Machine: Projectile,Textile,Textile,3,4,0.39241496
Assistant Ginning Fitter,Finished Package Checker-cum-Packer  - Spinning,Textile,Textile,2,3,0.39241496
Card Puncher (Automatic Machine),Finished Package Checker-cum-Packer  - Spinning,Textile,Textile,3,3,0.39241496
Finished Package Checker-cum-Packer  - Spinning,Jute Beaming Operator,Textile,Textile,3,2,0.39241496
Finished Package Checker-cum-Packer  - Spinning,Fitter  Weaving Preparatory,Textile,Textile,3,4,0.39241496
Combing Preparatory Operator,Finished Package Checker-cum-Packer  - Spinning,Textile,Textile,3,3,0.39241496
Finished Package Checker-cum-Packer  - Spinning,Fabric Checker - Textiles,Textile,Textile,3,3,0.39241496
Finished Package Checker-cum-Packer  - Spinning,Sizing Machine Operator,Textile,Textile,3,3,0.39241496
Finished Package Checker-cum-Packer  - Spinning,Size Mixer,Textile,Textile,3,3,0.39241496
Knitting Machine Operator Warp Knitting,Finished Package Checker-cum-Packer  - Spinning,Textile,Textile,3,3,0.39241496
Ikkat Artisan,Finished Package Checker-cum-Packer  - Spinning,Textile,Textile,2,3,0.39241496
Finished Package Checker-cum-Packer  - Spinning,Ginning Helper,Textile,Textile,3,1,0.39241496
Blowroom Operator,Finished Package Checker-cum-Packer  - Spinning,Textile,Textile,3,3,0.39241496
Finished Package Checker-cum-Packer  - Spinning,Knotting Machine Operator,Textile,Textile,3,3,0.39241496
Finished Package Checker-cum-Packer  - Spinning,Fabric Mender - Textiles,Textile,Textile,3,3,0.39241496
Knitting Machine Operator Flat Bed Knitting,Finished Package Checker-cum-Packer  - Spinning,Textile,Textile,3,3,0.39241496
Cone Winding Operator - Manual & Assembly Winding,Finished Package Checker-cum-Packer  - Spinning,Textile,Textile,3,3,0.39241496
Jacquard Harness Builder,Finished Package Checker-cum-Packer  - Spinning,Textile,Textile,2,3,0.39241496
Finished Package Checker-cum-Packer  - Spinning,Jute Selector cum Assorter,Textile,Textile,3,2,0.39241496
Finished Package Checker-cum-Packer  - Spinning,Jute Weft Winding Operator,Textile,Textile,3,2,0.39241496
Kalamkari Artisan,Finished Package Checker-cum-Packer  - Spinning,Textile,Textile,2,3,0.39241496
Hand Knitting Machine Operator,Finished Package Checker-cum-Packer  - Spinning,Textile,Textile,2,3,0.39241496
Finished Package Checker-cum-Packer  - Spinning,Tape Winder,Textile,Textile,3,3,0.39241496
Handcrafted Candle Maker,Transport Duty Manager,Handicrafts and Carpet,Tourism & Hospitality,3,6,0.3923797
Solar PV Manufacturing Technician,Basic Program on Traditional Hand Embroidery,Green Jobs,Handicrafts and Carpet,4,4,0.39237005
Solar PV Installer - Civil,Basic Program on Traditional Hand Embroidery,Green Jobs,Handicrafts and Carpet,4,4,0.39236367
Solar Domestic Product Assembler,GHG Accounting and Sustainability Reporting,Green Jobs,Green Jobs,2.5,6,0.39236075
Introduction to Electric Vehicle,Solar Domestic Product Assembler,Automotive,Green Jobs,4,2.5,0.39236075
Introduction to Electric Vehicle,"Fitter : Levelling, Alignment & Balancing",Automotive,Iron and Steel,4,3,0.3923464
GHG Accounting and Sustainability Reporting,"Fitter : Levelling, Alignment & Balancing",Green Jobs,Iron and Steel,6,3,0.3923464
GHG Accounting and Sustainability Reporting,Concierge Manager,Green Jobs,Tourism & Hospitality,6,6,0.39230034
Introduction to Electric Vehicle,Concierge Manager,Automotive,Tourism & Hospitality,4,6,0.39230034
GHG Accounting and Sustainability Reporting,Jumbo Drill Operator,Green Jobs,Mining,6,4,0.39225537
Introduction to Electric Vehicle,Jumbo Drill Operator,Automotive,Mining,4,4,0.39225537
Green Hydrogen Plant Junior Technician-Electrolyzer,Handcrafted Candle Maker,Green Jobs,Handicrafts and Carpet,3,3,0.39225146
